Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Gabriel Jesus,Arsenal,BRA,FW,45.6,42.59
Bilal El Khannouss,Leicester City,MAR,MF,40.6,42.59
Carlos Soler,West Ham,ESP,MF,23.4,42.58
Nicolás González,Manchester City,ESP,MF,48.4,42.21
Julio Enciso,Ipswich Town,PAR,FW,24.9,42.12
Guglielmo Vicario,Tottenham,ITA,GK,41.6,41.6
Riccardo Calafiori,Arsenal,ITA,DF,49.3,41.51
John McGinn,Aston Villa,SCO,MF,22.5,41.35
Joelinton,Newcastle Utd,BRA,MF,47.5,41.22
Jacob Ramsey,Aston Villa,ENG,FW,45.8,41.16
Yoane Wissa,Brentford,COD,FW,31.4,41.08
William Saliba,Arsenal,FRA,DF,79.5,41.02
Danny Welbeck,Brighton,ENG,FW,6.0,40.98
Sandro Tonali,Newcastle Utd,ITA,MF,52.9,40.73
Brajan Gruda,Brighton,GER,FW,29.4,40.47
Jurriën Timber,Arsenal,NED,DF,65.5,40.46
Facundo Buonanotte,Leicester City,ARG,FW,30.7,40.44
Justin Kluivert,Bournemouth,NED,MF,44.8,40.34
Joe Willock,Newcastle Utd,ENG,MF,35.8,40.34
Lewis Hall,Newcastle Utd,ENG,DF,34.5,40.06
Bernardo Silva,Manchester City,POR,MF,50.0,39.96
Mason Mount,Manchester Utd,ENG,MF,35.5,39.95
Nathan Aké,Manchester City,NED,DF,36.4,39.86
Mikey Moore,Tottenham,ENG,FW,23.7,39.25
Beto,Everton,GNB,FW,24.4,39.17
Jan Paul van Hecke,Brighton,NED,DF,42.4,39.15
Tyler Dibling,Southampton,ENG,FW,32.7,39.1
Nicolás Domínguez,Nott'ham Forest,ARG,MF,18.8,38.34
Evanilson,Bournemouth,BRA,FW,26.9,38.1
Luis Guilherme,West Ham,BRA,MF,26.6,38.09
Nikola Milenković,Nott'ham Forest,SRB,DF,38.0,38.0
Iliman Ndiaye,Everton,SEN,FW,25.7,37.97
Sander Berge,Fulham,NOR,MF,27.8,37.62
Jean-Philippe Mateta,Crystal Palace,FRA,FW,31.7,37.57
Toby Collyer,Manchester Utd,ENG,MF,10.7,37.41
Ferdi Kadioglu,Brighton,TUR,DF,37.4,37.4
Jadon Sancho,Chelsea,ENG,FW,37.7,37.36
Marcus Rashford,Manchester Utd,ENG,FW,53.6,37.32
Simon Adingra,Brighton,CIV,FW,34.0,37.24
Valentino Livramento,Newcastle Utd,ENG,DF,49.3,37.24
Pervis Estupiñán,Brighton,ECU,DF,37.1,37.1
Anthony Elanga,Nott'ham Forest,SWE,FW,45.5,37.06
Antoine Semenyo,Bournemouth,GHA,FW,47.7,36.96
Maxence Lacroix,Crystal Palace,FRA,DF,27.7,36.95
Dango Ouattara,Bournemouth,BFA,FW,28.5,36.72
Yasin Ayari,Brighton,SWE,MF,21.4,36.71
Edson Álvarez,West Ham,MEX,MF,36.5,36.5
Boubacar Kamara,Aston Villa,FRA,MF,46.3,36.47
Manuel Akanji,Manchester City,SUI,DF,42.8,36.31
Harvey Barnes,Newcastle Utd,ENG,FW,41.5,35.71
Myles Lewis-Skelly,Arsenal,ENG,DF,34.9,35.67
Son Heung-min,Tottenham,KOR,FW,30.7,35.46
Reece James,Chelsea,ENG,DF,37.3,35.4
André,Wolves,BRA,MF,29.8,35.04
Pape Matar Sarr,Tottenham,SEN,MF,50.8,34.96
Ibrahim Sangaré,Nott'ham Forest,CIV,MF,34.6,34.6
Wilson Odobert,Tottenham,FRA,FW,25.1,34.17
Jarrad Branthwaite,Everton,ENG,DF,32.2,34.13
Taylor Harwood-Bellis,Southampton,ENG,DF,29.9,33.98
Sepp van den Berg,Brentford,NED,DF,26.4,33.9
Mateus Fernandes,Southampton,POR,MF,22.5,33.79
Igor,Brighton,BRA,DF,25.0,33.64
Vitaliy Mykolenko,Everton,UKR,DF,33.5,33.54
Pau Torres,Aston Villa,ESP,DF,45.3,33.06
Antonee Robinson,Fulham,USA,DF,46.4,33.05
Djed Spence,Tottenham,ENG,DF,19.8,32.85
Kiernan Dewsbury-Hall,Chelsea,ENG,MF,24.9,32.56
Donyell Malen,Aston Villa,NED,FW,21.4,32.26
Daichi Kamada,Crystal Palace,JPN,MF,14.6,32.17
James Hill,Bournemouth,ENG,DF,2.1,31.95
Conor Bradley,Liverpool,NIR,DF,27.9,31.81
Joe Gomez,Liverpool,ENG,DF,25.3,31.78
Casemiro,Manchester Utd,BRA,MF,11.6,31.64
Cheick Doucouré,Crystal Palace,MLI,MF,37.2,31.56
Crysencio Summerville,West Ham,NED,FW,25.9,31.42
Ian Maatsen,Aston Villa,NED,DF,40.6,31.3
Andrew Robertson,Liverpool,SCO,DF,24.0,31.17
Daniel Muñoz,Crystal Palace,COL,DF,30.9,31.12
Nathan Collins,Brentford,IRL,DF,33.3,31.04
Jørgen Strand Larsen,Wolves,NOR,FW,30.8,30.8
Trevoh Chalobah,Crystal Palace,ENG,DF,20.1,30.79
Bart Verbruggen,Brighton,NED,GK,30.7,30.7
Leon Bailey,Aston Villa,JAM,FW,39.2,30.67
Morato,Nott'ham Forest,BRA,DF,20.0,30.4
Mikkel Damsgaard,Brentford,DEN,MF,28.6,30.3
Benoît Badiashile,Chelsea,FRA,DF,28.5,30.16
Marcus Tavernier,Bournemouth,ENG,FW,24.4,30.13
Jacob Murphy,Newcastle Utd,ENG,FW,17.9,30.01
Rodrigo Muniz,Fulham,BRA,FW,8.2,29.84
Chris Wood,Nott'ham Forest,NZL,FW,7.8,29.83
Lucas Bergvall,Tottenham,SWE,MF,32.6,29.46
Oleksandr Zinchenko,Arsenal,UKR,DF,19.9,29.33
Wesley Fofana,Chelsea,FRA,DF,30.3,29.22
Chris Richards,Crystal Palace,USA,DF,15.7,29.05
David Raya,Arsenal,ESP,GK,28.9,28.9
Richarlison,Tottenham,BRA,FW,26.7,28.62
Ismaila Sarr,Crystal Palace,SEN,MF,25.7,28.44
Radu Drăgușin,Tottenham,ROU,DF,28.4,28.4
Dominic Calvert-Lewin,Everton,ENG,FW,17.8,28.23
Victor Bernth Kristiansen,Leicester City,DEN,DF,23.9,28.16
Sean Longstaff,Newcastle Utd,ENG,MF,21.3,27.63
André Onana,Manchester Utd,CMR,GK,34.2,27.51
Flynn Downes,Southampton,ENG,MF,9.2,27.23
Kevin Danso,Tottenham,AUT,DF,27.2,27.2
James Garner,Everton,ENG,MF,23.2,27.17
Boubakary Soumaré,Leicester City,FRA,MF,15.4,26.99
Cristian Romero,Tottenham,ARG,DF,60.1,26.86
Patrick Dorgu,Manchester Utd,DEN,DF,31.5,26.83
Dara O'Shea,Ipswich Town,IRL,DF,19.5,26.76
Cameron Archer,Southampton,ENG,FW,18.6,26.72
Filip Jørgensen,Chelsea,DEN,GK,25.9,25.9
Marc Cucurella,Chelsea,ESP,DF,39.4,25.9
Gonçalo Guedes,Wolves,POR,MF,16.2,25.8
John Stones,Manchester City,ENG,DF,29.7,25.69
Sergio Reguilón,Tottenham,ESP,DF,5.6,25.67
Callum Hudson-Odoi,Nott'ham Forest,ENG,FW,30.2,25.46
Caleb Okoli,Leicester City,ITA,DF,16.7,25.37
Mateo Kovačić,Manchester City,CRO,MF,25.3,25.3
Jake O'Brien,Everton,IRL,DF,19.7,25.09
Alex Iwobi,Fulham,NGA,FW,30.3,25.01
Danilo,Nott'ham Forest,BRA,MF,36.9,24.97
Robert Sánchez,Chelsea,ESP,GK,24.9,24.9
Kenny Tete,Fulham,NED,DF,14.0,24.71
Jarell Quansah,Liverpool,ENG,DF,26.2,24.68
